data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2023,197756129,165629217,13A,C,35,,
2023,201511592,168896599,35A,C,25,,
2023,201511593,168896599,35B,C,25,,
2023,198507154,166286996,23G,C,25,,
2023,198507155,166286997,13B,C,35,,
2023,198507156,166286998,35B,C,11,,
2023,198507157,166286998,35A,C,11,,
2023,200775942,168264697,220,C,44,,F
2023,197756189,165629272,290,C,35,,
2023,197756190,165629272,23G,A,35,,
2023,197756198,165629280,13B,C,28,,
2023,197756206,165629288,23G,C,35,,
2023,197756225,165629307,13A,C,35,,
2023,197756253,165629333,13B,C,28,,
2023,208477160,174962645,13B,C,35,,
2023,198507158,166286999,13B,C,35,,
2023,199753811,167374151,13A,C,28,,
2023,205087863,172017250,11A,C,35,,
2023,205087864,172017250,100,C,35,,
2023,197756337,165629409,13B,C,19,,
2023,200194292,167756478,35B,C,25,,
2023,200194293,167756478,13B,C,25,,
2023,200194294,167756478,35A,C,25,,
2023,200194295,167756478,280,C,25,,
2023,208477163,174962647,13B,C,35,,
2023,208477164,174962647,35B,C,35,,
2023,197756372,165629435,520,C,33,,
2023,197756382,165629444,520,C,28,,
2023,197756383,165629444,35A,C,28,,
2023,197756389,165629449,23G,C,35,,
2023,197756400,165629460,35A,C,14,,
2023,197756413,165629470,35A,C,2,,
2023,197756422,165629479,280,C,24,,
2023,197756437,165629493,23G,C,35,,
2023,197756448,165629504,13B,C,19,,
2023,197756455,165629511,13B,C,28,,
2023,221057248,185920204,13A,C,28,,
2023,197756468,165629522,13B,C,28,,
2023,197756476,165629530,290,C,35,,
2023,197756487,165629540,23G,C,33,,
2023,197756498,165629549,35A,C,25,,
2023,197756508,165629558,13A,C,28,,
2023,203363923,170506882,13B,C,19,,
2023,197756539,165629588,35A,C,40,,
2023,197756540,165629588,35B,C,40,,
2023,199753817,167374154,290,C,35,,
2023,197756558,165629604,13B,C,19,,
2023,197756571,165629616,23G,C,35,,
2023,197756583,165629626,220,C,34,1,F
2023,197756594,165629636,23G,C,35,,
2023,197756616,165629656,220,C,34,1,F
2023,197756629,165629667,290,C,19,,
2023,197756631,165629667,220,A,19,,F
2023,197756639,165629676,23F,C,35,,
2023,199753818,167374155,13B,C,28,,
2023,206534914,173266174,13B,C,28,,
2023,197756647,165629684,280,C,35,,
2023,197756657,165629694,13A,C,35,,
2023,198507165,166287002,220,C,41,,F
2023,197756678,165629713,240,C,25,,
2023,197756683,165629718,240,C,35,,
2023,197756700,165629735,35B,C,35,,
2023,197756709,165629744,13B,C,28,,
2023,197756720,165629753,220,C,35,,F
2023,197756724,165629757,250,C,35,,
2023,197756733,165629766,290,C,34,,
2023,198507166,166287003,35B,C,25,,
2023,198507167,166287003,35A,C,25,,
2023,198507168,166287003,280,C,25,,
2023,197756742,165629774,13B,C,28,,
2023,198507169,166287004,13B,C,11,,
2023,197756760,165629790,13A,C,35,,
2023,198507170,166287005,13B,C,19,,
2023,197756777,165629807,240,C,25,,
2023,197756784,165629812,13A,C,35,,
2023,197756790,165629818,13B,C,28,,
2023,199753819,167374156,240,C,33,,
2023,203363924,170506883,13B,C,28,,
2023,197756811,165629837,240,C,11,,
2023,197756818,165629844,13B,C,28,,
2023,197756832,165629857,240,C,35,,
2023,199753820,167374157,23F,C,25,,
2023,197756839,165629862,35A,C,11,,
2023,197756851,165629873,220,C,35,,F
2023,201835966,169172797,23F,C,33,,
2023,197756869,165629889,520,C,25,,
2023,197756908,165629924,35A,C,28,,
2023,197756931,165629945,35A,C,28,,
2023,197756954,165629964,13B,C,14,,
2023,197756963,165629971,280,C,11,,
2023,197756964,165629971,35A,C,37,,
2023,197756981,165629988,23G,A,35,,
2023,197756995,165630002,13B,C,28,,
2023,197757019,165630024,26F,C,35,,
2023,197757031,165630034,13B,C,28,,
2023,197757042,165630043,23F,C,35,,
2023,197757043,165630043,26B,C,35,,
2023,199753821,167374158,13C,C,35,,
2023,197757059,165630057,23G,C,35,,
